ID	Type	Exp	Gene
GSM5138284	Control	3.12494654921499	ITGA3
GSM5138285	Control	2.77175035234401	ITGA3
GSM5138286	Control	2.74340793092632	ITGA3
GSM5138287	Control	2.92369692002833	ITGA3
GSM5138288	Control	3.38050187451239	ITGA3
GSM5138279	PCOS	3.25203096251467	ITGA3
GSM5138280	PCOS	3.26767791824129	ITGA3
GSM5138281	PCOS	3.9787250373388	ITGA3
GSM5138282	PCOS	3.94220978360007	ITGA3
GSM5138283	PCOS	3.10288180630417	ITGA3
GSM5773736	Control	3.50778196730366	ITGA3
GSM5773737	Control	3.56339676321029	ITGA3
GSM5773738	Control	3.31666600295174	ITGA3
GSM5773739	PCOS	3.18044985251296	ITGA3
GSM5773740	PCOS	3.85313195541701	ITGA3
GSM5773741	PCOS	2.2550310672227	ITGA3
GSM5138284	Control	0.788785966552249	PLEKHG5
GSM5138285	Control	0.888424488318312	PLEKHG5
GSM5138286	Control	0.330107279813394	PLEKHG5
GSM5138287	Control	0.959620390708227	PLEKHG5
GSM5138288	Control	0.964933486835804	PLEKHG5
GSM5138279	PCOS	1.55816251446724	PLEKHG5
GSM5138280	PCOS	1.32641906071799	PLEKHG5
